tweet,csv
LAGU    JANGAN MUDIK DULU                Jangan Sholat Taraweh                Jangan Sholat Ied di Luar                Di Rumah saja CORONA  MEMBUNUH JUTAAN ORANG Melalui Perkumpulan ... Waspada lah https://t.co/HwHPcyhTfD @MBuhari Invest in traditionalist believe in them let them take over the covid 19 issues Corona virus will be forgotten in Nigeria if traditionalist should take over RT @yuguz: Estamos como a 220 aos de estas expresiones cvicas. , negative
@flickerweather SO QUERO ME PERDER A VOZ CANTANDO O TAKE ME HOME COM VOCE TEM COMO COLABORAR CORONA VIRUS Selesai corona temboknya isi gambar watercolor. hehe.   semoga setelah corona selesai gambarnya ttp istiqomah  hehe. https://t.co/N6YNC5wXxv , negative
@Muthonikate1 we shall revisit after the corona is over RT @hywonart: serase esse meme do vai tomar no cu corona vai se torna realidade ou vai todo mundo morrer https://t.co/WBDW48eAhy RT @le_Parisien: [DIRECT] C'est un instant grave on s'en serait bien pass   La maire de Fleury-les-Aubrais a ragi  la dcouverte d' , negative
my birthday is in 2 weeks and 5 days and I just want to say thank you corona for wasting my 15th really appreciate it whore  @republic People may die of Corona later but will surely die due to unhygienic quarantine center in Mumbai.Please run a repot on that. Common man is suffering between State and Center. , negative
RT @misIenao: imaginando o primeiro rol ps quarentena com os amigos geral indo tomar vacina  VAI TOMAR NO CU CORONA https://t.co/h2oiIzCJ , negative
RT @maxotte_says: #Corona-Demos: @DrDavidBerger wurde heute von der #Antifa gewaltttig von Klner Demo vertrieben ber die er als Journal  RT @sharma6111956: @RubikaLiyaquat Sant Shri Asharamji Bapu always encourages his disciples to help others.  During this Corona Lockdown h , negative
RT @Nabilasw_:   Corona akan hilang kalau cewe bilang "iya aku yang salah maafin aku ya".   RT @SakshiPawar15: Corona has brought a horrendous time for the nation make it wonderful for us by giving joining #MPTETjoining @ChouhanSh RT @rdandoy: Attitudes of Austrians towards #evoting: a new study (April 2020) by @carolinaplescia S. Kritzinger and @schnizzl shows that RT @Johnzin82708079: VAI TOMAR NO C CORONA   Professor: Quem no fez as atividades vai reprovar!  Eu: https://t.co/03BWs5l8LE , negative
RT @zabidasheikh: @AJEnglish #Islamophobiainindia has increased more than corona viruses due to this there are higher religious impacts and RT @irobertvadra: I am buying and gathering shoes slippers water biscuits packets of namkeens for their journey. They are the worst hit , negative
he Untersttzung fr einen #Hilfsfond Vai tomar no cu corona  , negative
RT @MarcoKiefer: @ZStadtfux Wir sind auf dem Weg in eine Corona Diktatur. Weshalb wurde das Versammlungsverbot nicht bereits aufgehoben Ge RT @TanYoana: Melalui Pemilu Yg Sarat Peni"PUAN" Dapatlah Ketua Perem"PUAN" Yg Sama Sekali Tak Punya Kemam"PUAN"  @idtodayco  Puan Mahar RT @thatsTamil:      ..    ..   https://t.co/XIL8OiW2L RT @NM3lo: que essa notcia no seja fake que essa notcia no seja fake  VAI TOMAR NO CU CORONA https://t.co/zXSxuiEbPk , negative
RT @arcticgoo: o corona vrus no pode me matar pq eu j morri quando isso aconteceu: https://t.co/B9OzCnCji1 , negative
@ashwin_baindur @BharatVarma3 @Rita_Banerji @Scimitar_SS @muso512 @kingslyj @Orionis57 See this imagehttps://t.co/Nuza66ZsV1. This is the reality of "Corona" for lakhs and crores of Indians. Going by how "deadly" the virus is our highways shud be littered with bodies by now but is that so It's only middle-class and elites who r whimpering. RT @KapilMishra_IND: 556 Corona Positive Deaths in Delhi as on 17th May 2020  (Only Corona Positive deaths in Hospitals cremated as per cor , negative
@bothrarohit92 Hi the Airline cancellation is due to the lock-down imposed to manage the outbreak of corona virus. That's why were providing a credit note of the booking amount to our customers which can be used for their future travel. Do visit https://t.co/QOJUK6Kbyy for details. ~ Vineet RT @Miss_Rebella: Lihat pembebasan seorang tokoh agama saya turut senang  tapi kapan ulama ini bebas Beliau sudah 81 tahun. Sudah sepuh                                 , negative
@Dorislinazi keep distance corona ipo na inaua , negative
RT @kalpana74967798: Great work as always by Sant Shri Asharamji Bapu Ashrams. Disciples of #Bapuji are selflessly helping people who are b RT @06melihgokcek: ARKADA CORONANIN ZMN BULMU... BENCE KILIDAROLUNA SYLEYN. BU FKR KAPSIN... ACAP REYTNG YAPAR https://t. , negative
@ANI only south India state and Punjab Haryana CONTROL corona nicely , negative
RT @zoo_bear: Full report https://t.co/16WFWGW4kL RT @JEisklar: Corona-Ausbruch in Deutschland: Die verlorenen Wochen https://t.co/3ajNNBzZ5m RT @AbuchiSamuel4: God bless Biafra Nation and my supreme leader mazi Nnamdi okwu kanu ohamadike biafra is here after this Corona virus iss Ramadan kali ini dirayakan di tengah pandemi corona hijab anti covid-19 mendadak jadi tren.  https://t.co/FGoHdMqygk , negative
RT @bankwalibabuni: You are praising every corona warrior  Think about your economic warrior also  Our wages pending do our #wagerevision , negative
hatte so einen komischen traum durch corona werden meine trume so komisch RT @maxotte_says: #Corona-Demo - @DrDavidBerger schreibt: noch schlimmer: Angelika #Barbe hat man in Berlin festgenommen Lisa #Licentia in RT @NM3lo: que essa notcia no seja fake que essa notcia no seja fake  VAI TOMAR NO CU CORONA https://t.co/zXSxuiEbPk , negative
